date,weight
2018-11-03,77.8001633024
2018-11-02,76.89978244795
2018-11-01,77.09981668312
2018-10-31,76.30013333481
2018-10-30,77.60012906723
2018-10-29,77.20006059689
2018-10-27,76.50016756998001
2018-10-26,75.7000306293
2018-10-25,75.59978671553
2018-10-24,75.90006486447
2018-10-23,77.29985091829
2018-10-22,77.09981668312
2018-10-21,77.49988515346
2018-10-18,77.49988515346
2018-10-17,77.20006059689
2018-10-16,77.49988515346
2018-10-15,78.30002209414
2018-10-14,78.39981241554
2018-10-13,78.09998785897
2018-10-12,77.60012906723
2018-10-11,78.39981241554
2018-10-10,77.60012906723
2018-10-09,78.59984665071
2018-10-08,77.29985091829
2018-10-06,77.20006059689
2018-10-05,76.30013333481
2018-10-04,76.70020180515
2018-10-03,76.79999212655
2018-10-02,77.49988515346
2018-10-01,77.8999536238
2018-09-30,77.49988515346
2018-09-29,77.09981668312
2018-09-28,77.40009483205999
2018-09-27,78.00019753757
2018-09-26,78.50005632931
2018-09-25,78.39981241554
2018-09-24,77.60012906723
2018-09-23,77.29985091829
2018-09-22,77.49988515346
2018-09-21,77.8999536238
2018-09-20,78.50005632931
2018-09-19,78.99991512105
2018-09-18,79.50022750516
2018-09-17,78.99991512105
2018-09-16,79.10015903482
2018-09-15,79.10015903482
2018-09-14,78.59984665071
2018-09-13,79.19994935622
2018-09-12,78.79988088588
2018-09-11,78.90012479965
2018-09-10,77.8999536238
2018-09-07,78.19977818037
2018-09-06,78.30002209414
2018-09-05,78.50005632931
2018-09-04,79.19994935622
2018-09-01,78.09998785897
2018-08-31,78.39981241554
2018-08-30,78.90012479965
2018-08-29,78.50005632931
2018-08-24,78.79988088588
2018-08-18,78.99991512105
2018-08-16,78.99991512105
2018-08-14,78.99991512105
2018-06-11,80.49994508864
2018-06-10,80.49994508864
2018-06-09,79.69980814796
2018-06-08,79.69980814796
2018-06-07,79.69980814796
2018-06-06,80.69997932381
2018-06-05,80.69997932381
2018-06-04,80.40015476724
2018-06-03,79.69980814796
2018-06-02,81.39987235072
2018-06-01,81.39987235072
2018-05-31,81.39987235072
2018-05-30,81.39987235072
2018-05-29,81.39987235072
2018-05-28,81.39987235072
2018-05-27,80.60018900241
2018-05-26,79.89984238313001
2018-05-25,80.60018900241
2018-05-23,80.60018900241
2018-05-22,80.60018900241
2018-05-21,80.20012053207
2018-05-20,81.30008202932
2018-05-19,81.30008202932
2018-05-18,81.30008202932
2018-05-16,80.49994508864
2018-05-15,80.49994508864
2018-05-14,80.99980388038
2018-05-13,80.69997932381
2018-05-12,80.69997932381
2018-05-11,80.69997932381
2018-05-10,80.90001355898
2018-05-09,80.60018900241
2018-05-08,80.90001355898
2018-05-07,81.79994082106
2018-05-06,81.79994082106
2018-05-05,82.2997996128
2018-05-04,83.99986381555999
2018-05-03,83.99986381555999
2018-05-02,83.99986381555999
2018-05-01,83.99986381555999
2018-04-30,81.19983811555001
2018-04-28,81.19983811555001
2018-04-27,81.19983811555001
2018-04-26,81.39987235072
2018-04-25,81.30008202932
2018-04-24,81.99997505623
2018-04-23,82.2997996128
2018-04-22,81.99997505623
2018-04-21,81.90018473483
2018-04-20,82.2997996128
2018-04-19,82.2997996128
2018-04-18,83.00014623208
2018-04-17,82.10021897
2018-04-16,82.69986808314
2018-04-15,82.69986808314
2018-04-14,83.29997078865
2018-04-13,83.90007349416
2018-04-12,83.90007349416
2018-04-11,84.10010772933
2018-04-10,83.79982958039001
2018-04-09,83.70003925899
2018-04-08,83.70003925899
2018-04-07,83.29997078865
2018-04-06,84.10010772933
2018-04-05,84.80000075624001
2018-04-04,84.80000075624001
2018-04-03,84.50017619967
2018-04-02,84.50017619967
2018-04-01,84.80000075624001
2018-03-31,84.80000075624001
2018-03-30,85.40010346175
2018-03-29,85.40010346175
2018-03-28,85.20006922658001
2018-03-27,85.20006922658001
2018-03-26,84.89979107764
2018-03-25,85.29985954798
2018-03-24,85.49989378315
2018-03-23,85.80017193209001
2018-03-22,85.89996225349
2018-03-21,86.500064959
2018-03-20,86.500064959
2018-03-19,86.79988951556999
2018-03-18,86.79988951556999
2018-03-17,86.79988951556999
2018-03-16,86.79988951556999
2018-03-15,87.39999222108
2018-03-14,87.39999222108
2018-03-13,87.39999222108
2018-03-12,87.39999222108
2018-03-11,87.39999222108
2018-03-10,89.19984674524
2018-03-09,89.19984674524
2018-03-08,89.19984674524
2018-03-07,89.19984674524
2018-03-06,89.19984674524
2018-03-05,89.19984674524
2018-03-04,89.19984674524
2018-03-03,89.10005642384
2018-03-02,87.89985101282
2018-03-01,88.6999879535
2018-02-28,88.99981251007
2018-02-27,89.10005642384
2018-02-26,89.19984674524
2018-02-25,88.79977827489999
2018-02-23,89.30009065901
2018-02-22,89.30009065901
2018-02-21,89.70015912935
2018-02-20,89.79994945075
2018-02-18,89.39988098041
2018-02-17,89.50012489418002
2018-02-16,89.59991521558001
2018-02-15,89.90019336451999
2018-02-14,89.90019336451999
2018-02-13,89.90019336451999
2018-02-12,90.29980824249
2018-02-10,89.30009065901
2018-02-09,89.59991521558001
2018-02-08,89.59991521558001
2018-02-07,89.70015912935
2018-02-06,89.99998368591999
2018-02-05,90.49984247765998
2018-02-04,90.20001792109001
2018-02-03,90.09977400732001
2018-02-02,91.40022333211
2018-02-01,90.899910948
2018-01-30,91.50001365351
2018-01-28,91.20018909694001
2018-01-26,91.50001365351
2018-01-25,91.50001365351
2018-01-24,91.54990881421
2018-01-23,91.85018696315001
2018-01-22,91.40022333211
2018-01-21,91.50001365351
2018-01-20,91.94997728455
