Date,Name,Type,Quantity,Units,Calories,Fat (g),Protein (g),Carbohydrates (g),Saturated Fat (g),Sugars (g),Fiber (g),Cholesterol (mg),Sodium (mg)
09/01/2018,Shrimp Shaomai,Breakfast,200.0,Grams,212,0,16.46,35.27,0,9.41,0,23.52,1599.8
08/31/2018,"Pork Chop, Sirloin, Broiled",Breakfast,150.0,Grams,312,12.90,45.78,0,4.32,0,0,136.50,84
08/31/2018,"Egg, Fried, Large",Breakfast,46.0,Grams,90,7.4,6.27,0.41,1.97,0.38,0,210.22,93.84
08/31/2018,Boiled Water Spinach,Breakfast,100.0,Grams,15,0.70,1.70,0.40,0.53,0.20,2.30,n/a,47
08/31/2018,"Milk, Condensed, Sweetened",Breakfast,50.0,Milliliters,207,5.62,5.11,35.13,3.54,35.13,0,21.96,82.2
08/31/2018,"Pork Chop, Sirloin, Broiled",Lunch,150.0,Grams,312,12.90,45.78,0,4.32,0,0,136.50,84
08/31/2018,"Egg, Fried, Large",Lunch,50.0,Grams,98,7.66,6.81,0.45,2.15,0.42,0,228.50,102
08/31/2018,Boiled Water Spinach,Lunch,100.0,Grams,15,0.70,1.70,0.40,0.53,0.20,2.30,n/a,47
08/31/2018,Hủ Tiếu Thịt Heo,Dinner,1.0,Serving,361,12.50,14.40,47.80,n/a,n/a,1.23,n/a,n/a
08/31/2018,"Tofu, Firm",Dinner,100.0,Grams,84,4.40,8.90,2.30,0.50,0.30,0.80,0,4
08/30/2018,"Beef, Stir-Fry Strips, Untrimmed",Breakfast,202.0,Grams,271,6.6,54.54,0,2.2,0,0,109.8,76.76
08/30/2018,Okra,Breakfast,110.0,Grams,34,0.11,2.20,7.73,0.2,1.32,3.52,0,8.80
08/30/2018,"Egg, Fried, Large",Breakfast,57.0,Grams,112,8.73,7.76,0.51,2.45,0.47,0,260.49,116.28
08/30/2018,"Pumpkin, Mashed, Cooked",Breakfast,230.0,Grams,46,0.16,1.66,11.27,0.7,2.35,2.53,0,2.30
08/30/2018,"Milk, Condensed, Sweetened",Breakfast,50.0,Milliliters,207,5.62,5.11,35.13,3.54,35.13,0,21.96,82.2
08/30/2018,"Egg, Fried, Large",Lunch,57.0,Grams,112,8.73,7.76,0.51,2.45,0.47,0,260.49,116.28
08/30/2018,"Beef, Stir-Fry Strips, Untrimmed",Lunch,150.0,Grams,201,4.50,40.50,0,1.50,0,0,81,57
08/30/2018,Okra,Lunch,60.0,Grams,19,0.6,1.20,4.22,0.1,0.72,1.92,0,4.80
08/30/2018,"Egg, Fried, Large",Dinner,57.0,Grams,112,8.73,7.76,0.51,2.45,0.47,0,260.49,116.28
08/30/2018,Okra,Dinner,60.0,Grams,19,0.6,1.20,4.22,0.1,0.72,1.92,0,4.80
08/30/2018,"Beef, Stir-Fry Strips, Untrimmed",Dinner,150.0,Grams,201,4.50,40.50,0,1.50,0,0,81,57
08/30/2018,"Pumpkin, Mashed, Cooked",Dinner,122.0,Grams,24,0.9,0.88,5.98,0.4,1.24,1.34,0,1.22
08/30/2018,Okra,Snacks,60.0,Grams,19,0.6,1.20,4.22,0.1,0.72,1.92,0,4.80
08/30/2018,"Beef, Stir-Fry Strips, Untrimmed",Snacks,150.0,Grams,201,4.50,40.50,0,1.50,0,0,81,57
08/30/2018,"Pumpkin, Mashed, Cooked",Snacks,250.0,Grams,50,0.18,1.80,12.25,0.8,2.55,2.75,0,2.50
08/29/2018,"Fish Ball, Asian Style, Cooked",Breakfast,153.0,Grams,116,1.22,18.82,6.88,0.31,2.14,0,110.16,994.50
08/29/2018,"Green Beans, Cooked",Breakfast,50.0,Grams,18,0.14,0.95,3.94,0.3,1.82,1.60,0,0.50
08/29/2018,"Egg, Fried, Large",Breakfast,50.0,Grams,98,7.66,6.81,0.45,2.15,0.42,0,228.50,102
08/29/2018,"Soup, Egg Drop, Restaurant",Breakfast,3.0,Cups,195,4.41,8.39,31.2,1.16,0.65,2.89,166.29,2675.10
08/29/2018,"Green Beans, Cooked",Lunch,50.0,Grams,18,0.14,0.95,3.94,0.3,1.82,1.60,0,0.50
08/29/2018,"Egg, Fried, Large",Lunch,50.0,Grams,98,7.66,6.81,0.45,2.15,0.42,0,228.50,102
08/29/2018,"Fish Ball, Asian Style, Cooked",Lunch,200.0,Grams,152,1.60,24.60,9,0.40,2.80,0,144,1300
08/29/2018,"Soup, Egg Drop, Restaurant",Lunch,3.0,Cups,195,4.41,8.39,31.2,1.16,0.65,2.89,166.29,2675.10
08/29/2018,"Soup, Egg Drop, Restaurant",Dinner,3.0,Cups,195,4.41,8.39,31.2,1.16,0.65,2.89,166.29,2675.10
08/29/2018,"Egg, Fried, Large",Dinner,50.0,Grams,98,7.66,6.81,0.45,2.15,0.42,0,228.50,102
