Date,Name,Type,Quantity,Units,Calories,Fat (g),Protein (g),Carbohydrates (g),Saturated Fat (g),Sugars (g),Fiber (g),Cholesterol (mg),Sodium (mg)
10/30/2018,"Green Beans, Cooked",Lunch,84.0,Grams,29,0.24,1.59,6.62,0.5,3.5,2.69,0,0.84
10/30/2018,"Cabbage, Napa, Cooked",Lunch,200.0,Grams,24,0,1.83,3.67,0,n/a,n/a,0,22.2
10/30/2018,"Nuts, Peanuts, Dry Roasted",Snacks,20.0,Grams,114,10,5,3.57,1.43,1.43,1.43,0,135.71
10/30/2018,Prawn Crackers,Snacks,2.0,Servings,200,8,2,28,3,0,2,0,480
10/30/2018,Banana,Snacks,90.0,Grams,86,0.27,1.8,20.88,0.9,18.81,0.99,n/a,0.90
10/29/2018,"Pork Chop, Center Loin, Pan Fried",Breakfast,196.0,Grams,543,32.46,58.62,0,11.78,0,0,180.32,156.80
10/29/2018,"Egg, Fried, Large",Breakfast,48.0,Grams,94,7.35,6.54,0.43,2.6,0.40,0,219.36,97.92
10/29/2018,Boiled Water Spinach,Breakfast,33.0,Grams,5,0.23,0.56,0.13,0.17,0.7,0.76,n/a,15.51
10/29/2018,"Nuts, Peanuts, Dry Roasted",Breakfast,13.0,Grams,74,6.50,3.25,2.32,0.93,0.93,0.93,0,88.21
10/29/2018,"Pork Chop, Center Loin, Pan Fried",Lunch,196.0,Grams,543,32.46,58.62,0,11.78,0,0,180.32,156.80
10/29/2018,"Egg, Fried, Large",Lunch,48.0,Grams,94,7.35,6.54,0.43,2.6,0.40,0,219.36,97.92
10/29/2018,Boiled Water Spinach,Lunch,50.0,Grams,8,0.35,0.85,0.20,0.27,0.10,1.15,n/a,23.50
10/29/2018,"Nuts, Peanuts, Dry Roasted",Snacks,30.0,Grams,171,15,7.50,5.36,2.14,2.14,2.14,0,203.57
10/29/2018,Prawn Crackers,Snacks,3.0,Servings,300,12,3,42,4.50,0,3,0,720
