2018-08-29,3039
2018-08-30,8421
2018-08-31,2934
2018-09-01,15930
2018-09-02,1352
2018-09-03,1580
2018-09-04,7751
2018-09-05,3249
2018-09-06,14613
2018-09-07,9433
2018-09-08,13562
2018-09-09,18976
2018-09-10,3089
2018-09-11,15179
2018-09-12,1713
2018-09-13,14520
2018-09-14,3242
2018-09-15,1388
2018-09-16,20938
2018-09-17,1712
2018-09-18,10007
2018-09-19,2271
2018-09-20,13052
2018-09-21,3768
2018-09-22,1206
2018-09-23,18921
2018-09-24,2531
2018-09-25,7461
2018-09-26,2533
2018-09-27,13521
2018-09-28,2206
2018-09-29,1925
2018-09-30,17744
2018-10-01,2278
2018-10-02,11807
2018-10-03,2872
2018-10-04,10246
2018-10-05,2359
2018-10-06,2138
2018-10-07,18902
2018-10-08,1479
2018-10-09,12432
2018-10-10,2996
2018-10-11,9236
2018-10-12,2613
2018-10-13,1901
2018-10-14,18482
2018-10-15,2829
2018-10-16,13619
2018-10-17,3072
2018-10-18,11419
2018-10-19,2148
2018-10-20,2689
2018-10-21,18116
2018-10-22,2730
2018-10-23,13154
2018-10-24,2096
2018-10-25,10449
2018-10-26,2001
2018-10-27,3279
2018-10-28,17143
2018-10-29,2222
2018-10-30,13482
2018-10-31,2521
2018-11-01,13684
2018-11-02,2903
