Date,Name,Type,Quantity,Units,Calories,Fat (g),Protein (g),Carbohydrates (g),Saturated Fat (g),Sugars (g),Fiber (g),Cholesterol (mg),Sodium (mg)
09/23/2018,Hủ Tiếu,Breakfast,1.0,Serving,326,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
09/23/2018,Cafe Sữa Đá,Breakfast,1.0,Serving,250,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
09/23/2018,Cháo lòng,Lunch,1.0,Serving,412,13.50,30.80,41.70,n/a,n/a,0.84,n/a,n/a
09/23/2018,Har Gow,Dinner,12.0,Pieces,528,12,36,60,12,0,0,252,1440
09/22/2018,Shrimp Shaomai,Breakfast,209.0,Grams,221,0,17.20,36.86,0,9.83,0,24.57,1671.4
09/22/2018,"Cabbage, Shredded, Cooked",Breakfast,200.0,Grams,46,0.12,2.54,11.2,0,5.58,3.80,0,16
09/22/2018,"Creamer, Italian Sweet Cream",Breakfast,1.0,Tablespoon,35,1.48,0,4.93,0,4.93,0,0,14.79
09/22/2018,"Pulled Pork, in BBQ Sauce",Lunch,154.0,Grams,259,6.80,20.35,28.82,2.16,7.73,1.86,53.81,1026.67
09/22/2018,"Rice, White, Cooked",Lunch,150.0,Grams,195,0.32,3.57,42.88,0.9,n/a,0.45,0,0
09/22/2018,"Egg, Hard Boiled",Lunch,108.0,Grams,168,10.80,12.96,2.16,4.32,2.16,0,457.92,133.92
09/22/2018,Shrimp Shaomai,Dinner,231.0,Grams,244,0,19.1,40.74,0,10.86,0,27.16,1846.94
09/22/2018,Mooncake,Snacks,1.0,Piece,540,26,8,70,n/a,n/a,0,n/a,n/a
09/21/2018,"Pork Chop, Cooked",Breakfast,207.0,Grams,431,17.80,63.18,0,5.96,0,0,188.37,115.92
09/21/2018,Boiled Water Spinach,Breakfast,41.0,Grams,6,0.29,0.70,0.16,0.22,0.8,0.94,n/a,19.27
09/21/2018,"Egg, Fried, Large",Breakfast,50.0,Grams,98,7.66,6.81,0.45,2.15,0.42,0,228.50,102
09/21/2018,"Okra, Slices, Cooked",Breakfast,20.0,Grams,4,0.4,0.37,0.90,0.1,0.48,0.50,0,1.20
09/21/2018,"Egg, Fried, Large",Lunch,50.0,Grams,98,7.66,6.81,0.45,2.15,0.42,0,228.50,102
09/21/2018,Boiled Water Spinach,Lunch,41.0,Grams,6,0.29,0.70,0.16,0.22,0.8,0.94,n/a,19.27
09/21/2018,"Okra, Slices, Cooked",Lunch,20.0,Grams,4,0.4,0.37,0.90,0.1,0.48,0.50,0,1.20
09/21/2018,"Pork Chop, Cooked",Lunch,150.0,Grams,312,12.90,45.78,0,4.32,0,0,136.50,84
09/21/2018,"Fish Ball, Asian Style, Cooked",Dinner,150.0,Grams,114,1.20,18.45,6.75,0.30,2.10,0,108,975
09/21/2018,Cafe Sữa Đá,Snacks,1.0,Serving,250,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
09/21/2018,Cocacola coffee,Snacks,1.0,Serving,78,0,n/a,5,0,5,n/a,0,23
09/21/2018,Xuc Xich Bo,Snacks,105.0,Grams,175,8.5,12.60,13.65,n/a,n/a,n/a,40.84,n/a
09/21/2018,Mooncake,Snacks,0.25,Piece,135,6.50,2,17.50,n/a,n/a,0,n/a,n/a
09/20/2018,"Green Beans, Cooked",Breakfast,59.0,Grams,21,0.17,1.12,4.65,0.4,2.14,1.89,0,0.59
09/20/2018,"Egg, Fried, Large",Breakfast,50.0,Grams,98,7.66,6.81,0.45,2.15,0.42,0,228.50,102
09/20/2018,Chicken Thighs Grilled,Breakfast,252.0,Grams,585,36.79,58.86,0,11.4,0,0,334.77,257.52
09/20/2018,"Yam, purple",Breakfast,125.0,Grams,212,0,0,35.27,0,0,4.41,0,8.82
