2018-08-29,1724
2018-08-30,1729
2018-08-31,1722
2018-09-01,1718
2018-09-02,1734
2018-09-03,1734
2018-09-04,1734
2018-09-05,1724
2018-09-06,1721
2018-09-07,1719
2018-09-08,1734
2018-09-09,1734
2018-09-10,1715
2018-09-11,1721
2018-09-12,1721
2018-09-13,1721
2018-09-14,1721
2018-09-15,1721
2018-09-16,1721
2018-09-17,1721
2018-09-18,1721
2018-09-19,1721
2018-09-20,1721
2018-09-21,1721
2018-09-22,1709
2018-09-23,1706
2018-09-24,1711
2018-09-25,1722
2018-09-26,1724
2018-09-27,1716
2018-09-28,1708
2018-09-29,1703
2018-09-30,1709
2018-10-01,1715
2018-10-02,1703
2018-10-03,1703
2018-10-04,1703
2018-10-05,1703
2018-10-06,1703
2018-10-07,1703
2018-10-08,1703
2018-10-09,1703
2018-10-10,1703
2018-10-11,1703
2018-10-12,1703
2018-10-13,1718
2018-10-14,1722
2018-10-15,1721
2018-10-16,1709
2018-10-17,1705
2018-10-18,1709
2018-10-19,1721
2018-10-20,1709
2018-10-21,1709
2018-10-22,1703
2018-10-23,1706
2018-10-24,1686
2018-10-25,1682
2018-10-26,1683
2018-10-27,1695
2018-10-28,1709
2018-10-29,1705
2018-10-30,1711
2018-10-31,1692
2018-11-01,1703
2018-11-02,1845
