Date,Name,Type,Quantity,Units,Calories,Fat (g),Protein (g),Carbohydrates (g),Saturated Fat (g),Sugars (g),Fiber (g),Cholesterol (mg),Sodium (mg)
10/27/2018,Com Tam Bi Cha Suon Nuong,Breakfast,1.0,Serving,620,15.60,23.80,94,3.90,n/a,n/a,239,2160
10/27/2018,Creme Brulee,Breakfast,1.0,Each,343,22,3,27,13,n/a,0,n/a,27
10/27/2018,"Burger, Cheeseburger",Breakfast,1.0,Each,666,33.15,35.70,53.55,15.30,10.20,2.55,86.70,1938
10/27/2018,Milk Tea With Boba,Breakfast,300.0,Milliliters,252,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
10/27/2018,"Pastry, Choux, Commercial, Baked",Snacks,2.0,Pieces,550,42.40,10.40,31.80,18.20,1.60,0.20,192,528
10/26/2018,Banana,Breakfast,87.0,Grams,83,0.26,1.4,20.18,0.9,18.19,0.96,n/a,0.87
10/26/2018,Trey Rors ( Snakehead Fish),Breakfast,196.0,Grams,239,7.84,41.16,1.96,n/a,n/a,n/a,n/a,n/a
10/26/2018,Cabbage Stir-fry,Breakfast,106.0,Grams,54,3.76,1.11,4.16,0.72,3.93,2.46,n/a,35.25
10/26/2018,"Egg, Fried, Large",Breakfast,46.0,Grams,90,7.4,6.27,0.41,1.97,0.38,0,210.22,93.84
10/26/2018,"Nuts, Peanuts, Dry Roasted",Breakfast,9.0,Grams,51,4.50,2.25,1.61,0.64,0.64,0.64,0,61.7
10/26/2018,Chicken Thighs Grilled,Lunch,50.0,Grams,116,7.30,11.68,0,2.19,0,0,66.42,51.9
10/26/2018,Porridge,Lunch,150.0,Grams,90,1.30,2.43,16.4,0.20,0.23,1.91,n/a,0
10/26/2018,Vermicelli Rice Noodles,Dinner,200.0,Grams,615,0.92,2.15,216.62,0.31,0.31,n/a,n/a,0.15
10/26/2018,"Beef, Stir-Fry Strips, Untrimmed",Dinner,200.0,Grams,268,6,54,0,2,0,0,108,76
10/26/2018,"Nuts, Peanuts, Dry Roasted",Snacks,50.0,Grams,286,25,12.50,8.93,3.57,3.57,3.57,0,339.29
10/26/2018,Prawn Crackers,Snacks,2.0,Servings,200,8,2,28,3,0,2,0,480
10/25/2018,Chicken Thighs Grilled,Breakfast,170.0,Grams,395,24.82,39.71,0,7.45,0,0,225.84,173.72
10/25/2018,Cabbage Stir-fry,Breakfast,70.0,Grams,36,2.49,0.73,2.75,0.48,2.59,1.62,n/a,23.28
10/25/2018,"Egg, Fried, Large",Breakfast,50.0,Grams,98,7.66,6.81,0.45,2.15,0.42,0,228.50,102
10/25/2018,"Nuts, Peanuts, Dry Roasted",Breakfast,10.0,Grams,57,5,2.50,1.79,0.71,0.71,0.71,0,67.86
10/25/2018,Chinese Wax Gourd Or Winter Melon,Breakfast,200.0,Grams,24,0.40,0.80,5.20,n/a,n/a,1.40,n/a,3.60
10/25/2018,Chicken Thighs Grilled,Lunch,170.0,Grams,395,24.82,39.71,0,7.45,0,0,225.84,173.72
10/25/2018,Cabbage Stir-fry,Lunch,70.0,Grams,36,2.49,0.73,2.75,0.48,2.59,1.62,n/a,23.28
10/25/2018,"Egg, Fried, Large",Lunch,50.0,Grams,98,7.66,6.81,0.45,2.15,0.42,0,228.50,102
10/25/2018,Chinese Wax Gourd Or Winter Melon,Lunch,200.0,Grams,24,0.40,0.80,5.20,n/a,n/a,1.40,n/a,3.60
10/25/2018,Banana,Snacks,56.0,Grams,53,0.17,0.67,12.99,0.6,11.71,0.62,n/a,0.56
10/25/2018,"Peanuts, Dry Cooked, w/ Salt",Snacks,60.0,Grams,351,29.80,14.21,12.91,4.13,2.51,4.80,0,487.80
10/24/2018,"Broccoli, Chopped, Cooked",Breakfast,94.0,Grams,33,0.39,2.24,6.75,0.7,1.31,3.10,0,38.54
10/24/2018,"Pork, Pulled, w/ BBQ Sauce",Breakfast,208.0,Grams,357,14.86,35.66,20.80,5.20,20.80,0,74.29,460.57
