Date,Name,Type,Quantity,Units,Calories,Fat (g),Protein (g),Carbohydrates (g),Saturated Fat (g),Sugars (g),Fiber (g),Cholesterol (mg),Sodium (mg)
10/24/2018,"Egg, Hard Boiled",Breakfast,149.0,Grams,232,14.90,17.88,2.98,5.96,2.98,0,631.76,184.76
10/24/2018,"Pork, Pulled, w/ BBQ Sauce",Lunch,200.0,Grams,343,14.29,34.29,20,5,20,0,71.43,442.86
10/24/2018,"Broccoli, Chopped, Cooked",Lunch,100.0,Grams,35,0.41,2.38,7.18,0.7,1.39,3.30,0,41
10/24/2018,"Egg, Hard Boiled",Lunch,150.0,Grams,234,15,18,3,6,3,0,636,186
10/24/2018,Oolong Tea Plus,Snacks,1.0,Serving,140,n/a,n/a,35,n/a,n/a,n/a,n/a,n/a
10/24/2018,"Nuts, Peanuts, Dry Roasted",Snacks,30.0,Grams,171,15,7.50,5.36,2.14,2.14,2.14,0,203.57
10/23/2018,"Pulled Pork, in BBQ Sauce",Breakfast,107.0,Grams,180,4.73,14.14,20.2,1.50,5.37,1.29,37.39,713.34
10/23/2018,"Rice, White, Cooked",Breakfast,164.0,Grams,213,0.34,3.90,46.89,0.9,n/a,0.49,0,0
10/23/2018,Okra,Breakfast,94.0,Grams,29,0.9,1.88,6.61,0.2,1.13,3.1,0,7.52
10/23/2018,"Egg, Hard Boiled",Breakfast,153.0,Grams,239,15.30,18.36,3.6,6.12,3.6,0,648.72,189.72
10/23/2018,"Spinach, Cooked",Breakfast,2.0,Cups,83,0.94,10.69,13.50,0.14,1.55,8.64,0,252
10/23/2018,"Pulled Pork, in BBQ Sauce",Lunch,200.0,Grams,336,8.84,26.43,37.43,2.81,10.4,2.41,69.88,1333.34
10/23/2018,Okra,Lunch,100.0,Grams,31,0.10,2,7.3,0.2,1.20,3.20,0,8
10/23/2018,"Egg, Hard Boiled",Lunch,150.0,Grams,234,15,18,3,6,3,0,636,186
10/23/2018,"Spinach, Cooked",Lunch,1.0,Cup,41,0.47,5.35,6.75,0.7,0.77,4.32,0,126
10/23/2018,"Gatorade, Fruit Punch",Dinner,868.0,Milliliters,196,0,0,53.81,0,51.36,0,0,391.34
10/23/2018,"Nuts, Peanuts, Dry Roasted",Snacks,40.0,Grams,229,20,10,7.14,2.86,2.86,2.86,0,271.43
10/22/2018,Boiled Water Spinach,Breakfast,85.0,Grams,13,0.60,1.45,0.34,0.45,0.17,1.96,n/a,39.95
10/22/2018,"Egg, Fried, Large",Breakfast,48.0,Grams,94,7.35,6.54,0.43,2.6,0.40,0,219.36,97.92
10/22/2018,"Meatballs, Pork and Beef, in Tomato Sauce, Homemade",Breakfast,294.0,Grams,362,20.58,29.40,14.70,8.82,8.82,2.94,120.54,176.40
10/22/2018,"Egg, Hard Boiled",Breakfast,53.0,Grams,83,5.30,6.36,1.6,2.12,1.6,0,224.72,65.72
10/22/2018,Boiled Water Spinach,Lunch,85.0,Grams,13,0.60,1.45,0.34,0.45,0.17,1.96,n/a,39.95
10/22/2018,"Egg, Fried, Large",Lunch,50.0,Grams,98,7.66,6.81,0.45,2.15,0.42,0,228.50,102
10/22/2018,"Meatballs, Pork and Beef, in Tomato Sauce, Homemade",Lunch,294.0,Grams,362,20.58,29.40,14.70,8.82,8.82,2.94,120.54,176.40
10/22/2018,"Spinach, Cooked",Lunch,150.0,Grams,35,0.39,4.46,5.63,0.6,0.65,3.60,0,105
10/22/2018,"Nuts, Peanuts, Dry Roasted",Snacks,50.0,Grams,286,25,12.50,8.93,3.57,3.57,3.57,0,339.29
10/22/2018,Xuc Xich Bo,Snacks,80.0,Grams,134,6.14,9.60,10.40,n/a,n/a,n/a,31.12,n/a
