Date,Name,Type,Quantity,Units,Calories,Fat (g),Protein (g),Carbohydrates (g),Saturated Fat (g),Sugars (g),Fiber (g),Cholesterol (mg),Sodium (mg)
10/05/2018,Chicken Thighs Grilled,Breakfast,202.0,Grams,469,29.49,47.18,0,8.85,0,0,268.35,206.42
10/05/2018,Okra,Breakfast,157.0,Grams,49,0.16,3.14,11.4,0.3,1.88,5.2,0,12.56
10/05/2018,"Egg, Fried, Large",Breakfast,46.0,Grams,90,7.4,6.27,0.41,1.97,0.38,0,210.22,93.84
10/05/2018,"Soup, Egg Drop, Restaurant",Breakfast,3.0,Cups,195,4.41,8.39,31.2,1.16,0.65,2.89,166.29,2675.10
10/05/2018,Chicken Thighs Grilled,Lunch,202.0,Grams,469,29.49,47.18,0,8.85,0,0,268.35,206.42
10/05/2018,"Soup, Egg Drop, Restaurant",Lunch,2.0,Cups,130,2.94,5.59,20.68,0.77,0.43,1.93,110.86,1783.40
10/05/2018,"Egg, Fried, Large",Lunch,46.0,Grams,90,7.4,6.27,0.41,1.97,0.38,0,210.22,93.84
10/05/2018,Okra,Lunch,50.0,Grams,16,0.5,1,3.52,0.1,0.60,1.60,0,4
10/05/2018,"Fish Ball, Asian Style, Cooked",Dinner,150.0,Grams,114,1.20,18.45,6.75,0.30,2.10,0,108,975
10/05/2018,Orion custas egg cream,Snacks,1.0,Piece,110,6,1,12,4,6,1,30,35
10/05/2018,Xuc Xich Bo,Snacks,125.0,Grams,209,9.59,15,16.25,n/a,n/a,n/a,48.63,n/a
10/04/2018,"Meatballs, Pork and Beef, in Tomato Sauce, Homemade",Breakfast,203.0,Grams,250,14.21,20.30,10.15,6.9,6.9,2.3,83.23,121.80
10/04/2018,"Egg, Fried, Large",Breakfast,51.0,Grams,100,7.81,6.95,0.46,2.19,0.42,0,233.7,104.4
10/04/2018,Chinese Wax Gourd Or Winter Melon,Breakfast,272.0,Grams,33,0.54,1.9,7.7,n/a,n/a,1.90,n/a,4.90
