Date,Name,Type,Quantity,Units,Calories,Fat (g),Protein (g),Carbohydrates (g),Saturated Fat (g),Sugars (g),Fiber (g),Cholesterol (mg),Sodium (mg)
10/21/2018,"Soup, Vietnamese, Pho",Breakfast,1.0,Serving,415,8.75,6.25,69.50,n/a,n/a,6.25,n/a,n/a
10/21/2018,Bánh mỳ nhân kem sữa Otto,Breakfast,66.0,Grams,304,22.73,15.40,3.67,11,2.20,0.73,0,1.1
10/21/2018,Royal Shrimp Har Gow,Dinner,463.0,Grams,880,32.41,18.52,125.1,6.95,23.15,13.89,92.60,1759.40
10/21/2018,"Nuts, Peanuts, Dry Roasted",Snacks,10.0,Grams,57,5,2.50,1.79,0.71,0.71,0.71,0,67.86
10/21/2018,"Nuts, Peanuts, Dry Roasted",Snacks,10.0,Grams,57,5,2.50,1.79,0.71,0.71,0.71,0,67.86
10/20/2018,Xuc Xich Bo,Breakfast,175.0,Grams,292,13.42,21,22.75,n/a,n/a,n/a,68.8,n/a
10/20/2018,Ramen Noodles,Breakfast,1.0,Package,380,14,10,52,7,2,2,0,1660
10/20/2018,"Egg, Hard Boiled",Lunch,237.0,Grams,370,23.70,28.44,4.74,9.48,4.74,0,1004.88,293.88
10/20/2018,Bánh Canh Cua,Dinner,1.0,Serving,379,8.40,21.40,n/a,54.30,n/a,2.19,n/a,n/a
10/20/2018,Prawn Crackers,Snacks,2.0,Servings,200,8,2,28,3,0,2,0,480
10/20/2018,"Nuts, Peanuts, Dry Roasted",Snacks,20.0,Grams,114,10,5,3.57,1.43,1.43,1.43,0,135.71
10/20/2018,Moon cake,Snacks,0.5,Piece,105,1,0.50,23.50,0.25,13.50,0.50,0,7.50
10/20/2018,Bánh mỳ nhân kem sữa Otto,Snacks,62.0,Grams,285,21.36,14.47,3.44,10.33,2.7,0.69,0,0.95
10/19/2018,Chicken Thighs Grilled,Breakfast,205.0,Grams,476,29.93,47.88,0,8.98,0,0,272.33,209.49
10/19/2018,"Garlic, Chives (Chinese Chives/Kow Choi/Nira/Buchu)",Breakfast,70.0,Grams,20,0,2.50,2.50,0,2.50,2.50,0,2.50
10/19/2018,"Egg, Fried, Large",Breakfast,48.0,Grams,94,7.35,6.54,0.43,2.6,0.40,0,219.36,97.92
10/19/2018,"Cabbage, Napa, Cooked",Breakfast,200.0,Grams,24,0,1.83,3.67,0,n/a,n/a,0,22.2
10/19/2018,Chicken Thighs Grilled,Lunch,200.0,Grams,464,29.20,46.72,0,8.76,0,0,265.69,204.38
10/19/2018,"Garlic, Chives (Chinese Chives/Kow Choi/Nira/Buchu)",Lunch,100.0,Grams,29,0,3.57,3.57,0,3.57,3.57,0,3.57
10/19/2018,"Egg, Fried, Large",Lunch,50.0,Grams,98,7.66,6.81,0.45,2.15,0.42,0,228.50,102
10/19/2018,"Cabbage, Napa, Cooked",Lunch,200.0,Grams,24,0,1.83,3.67,0,n/a,n/a,0,22.2
10/19/2018,"Nuts, Peanuts, Dry Roasted",Snacks,20.0,Grams,114,10,5,3.57,1.43,1.43,1.43,0,135.71
10/19/2018,Cafe Sữa Đá,Snacks,1.0,Serving,250,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
10/19/2018,Xuc Xich Bo,Snacks,80.0,Grams,134,6.14,9.60,10.40,n/a,n/a,n/a,31.12,n/a
10/19/2018,Bánh quế cosy chocolate,Snacks,0.5,Serving,229,7.55,4.25,36.10,4,15.90,1.55,1.10,65.50
10/19/2018,Prawn Crackers,Snacks,3.0,Servings,300,12,3,42,4.50,0,3,0,720
