Date,Name,Type,Quantity,Units,Calories,Fat (g),Protein (g),Carbohydrates (g),Saturated Fat (g),Sugars (g),Fiber (g),Cholesterol (mg),Sodium (mg)
10/18/2018,"Pork Chop, Cooked",Breakfast,210.0,Grams,437,18.6,64.9,0,6.5,0,0,191.10,117.60
10/18/2018,Okra,Breakfast,75.0,Grams,23,0.8,1.50,5.27,0.2,0.90,2.40,0,6
10/18/2018,"Egg, Fried, Large",Breakfast,48.0,Grams,94,7.35,6.54,0.43,2.6,0.40,0,219.36,97.92
10/18/2018,"Pork Chop, Cooked",Lunch,200.0,Grams,416,17.20,61.4,0,5.76,0,0,182,112
10/18/2018,"Egg, Fried, Large",Lunch,50.0,Grams,98,7.66,6.81,0.45,2.15,0.42,0,228.50,102
10/18/2018,Okra,Lunch,100.0,Grams,31,0.10,2,7.3,0.2,1.20,3.20,0,8
10/18/2018,"Octopus, Cooked",Dinner,75.0,Grams,123,1.56,22.36,3.30,0.34,0,0,72,345
10/18/2018,Bánh mỳ nhân kem sữa Otto,Dinner,100.0,Grams,460,34.44,23.33,5.56,16.67,3.33,1.11,0,1.53
10/18/2018,"Peanuts, Dry Cooked, w/ Salt",Snacks,20.0,Grams,117,9.93,4.74,4.30,1.38,0.84,1.60,0,162.60
10/18/2018,Xuc Xich Bo,Snacks,120.0,Grams,200,9.20,14.40,15.60,n/a,n/a,n/a,46.68,n/a
10/18/2018,Prawn Crackers,Snacks,2.0,Servings,200,8,2,28,3,0,2,0,480
10/18/2018,Oolong Tea Plus,Snacks,1.0,Serving,140,n/a,n/a,35,n/a,n/a,n/a,n/a,n/a
10/17/2018,"Beef, Stir-Fry Strips, Untrimmed",Breakfast,168.0,Grams,225,5.4,45.36,0,1.68,0,0,90.72,63.84
10/17/2018,"Egg, Fried, Large",Breakfast,42.0,Grams,82,6.43,5.72,0.38,1.80,0.35,0,191.94,85.68
10/17/2018,"Carrots, Cooked",Breakfast,52.0,Grams,18,0.9,0.40,4.27,0.2,1.79,1.56,0,30.16
10/17/2018,"Tea, Iced, Sweet, w/o Lemon",Breakfast,0.25,Liter,74,0,0,19.2,0,19.2,0,0,0
10/17/2018,Chinese Wax Gourd Or Winter Melon,Breakfast,300.0,Grams,36,0.60,1.20,7.80,n/a,n/a,2.10,n/a,5.40
10/17/2018,Cafe Sữa Đá,Breakfast,1.0,Serving,250,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
10/17/2018,"Beef, Stir-Fry Strips, Untrimmed",Lunch,200.0,Grams,268,6,54,0,2,0,0,108,76
10/17/2018,"Carrots, Cooked",Lunch,30.0,Grams,11,0.5,0.23,2.47,0.1,1.3,0.90,0,17.40
10/17/2018,"Egg, Fried, Large",Lunch,50.0,Grams,98,7.66,6.81,0.45,2.15,0.42,0,228.50,102
10/17/2018,Chinese Wax Gourd Or Winter Melon,Lunch,170.0,Grams,20,0.34,0.68,4.42,n/a,n/a,1.19,n/a,3.6
10/17/2018,Prawn Crackers,Snacks,1.0,Serving,100,4,1,14,1.50,0,1,0,240
10/17/2018,Xuc Xich Bo,Snacks,160.0,Grams,267,12.27,19.20,20.80,n/a,n/a,n/a,62.24,n/a
10/17/2018,"Peanuts, Dry Cooked, w/ Salt",Snacks,10.0,Grams,59,4.97,2.37,2.15,0.69,0.42,0.80,0,81.30
10/17/2018,Bánh mỳ nhân kem sữa Otto,Snacks,100.0,Grams,460,34.44,23.33,5.56,16.67,3.33,1.11,0,1.53
10/16/2018,"Sausage, Bratwurst, Pork, Cooked",Breakfast,205.0,Grams,683,59.82,28.13,5.84,20.48,0,0,151.70,1734.30
10/16/2018,"Green Beans, Cooked",Breakfast,118.0,Grams,41,0.33,2.23,9.30,0.8,4.28,3.78,0,1.18
10/16/2018,"Egg, Fried, Large",Breakfast,47.0,Grams,92,7.20,6.40,0.42,2.2,0.39,0,214.79,95.88
10/16/2018,"Sausage, Bratwurst, Pork, Cooked",Lunch,205.0,Grams,683,59.82,28.13,5.84,20.48,0,0,151.70,1734.30
10/16/2018,"Green Beans, Cooked",Lunch,118.0,Grams,41,0.33,2.23,9.30,0.8,4.28,3.78,0,1.18
10/16/2018,"Egg, Fried, Large",Lunch,47.0,Grams,92,7.20,6.40,0.42,2.2,0.39,0,214.79,95.88
10/16/2018,"Peanuts, Dry Cooked, w/ Salt",Snacks,20.0,Grams,117,9.93,4.74,4.30,1.38,0.84,1.60,0,162.60
10/16/2018,Xuc Xich Bo,Snacks,75.0,Grams,125,5.75,9,9.75,n/a,n/a,n/a,29.18,n/a
10/16/2018,Vietnamese Mi Hoanh Thanh (Wonton) Noodle Soup,Snacks,1.0,Serving,400,6,38,52,1,8,6,260,2032
10/16/2018,Bánh mỳ nhân kem sữa Otto,Snacks,62.0,Grams,285,21.36,14.47,3.44,10.33,2.7,0.69,0,0.95
10/15/2018,"Pork Chop, Center Loin, Cooked",Breakfast,198.0,Grams,414,21.90,50.71,0,6.95,0,0,166.32,108.90
10/15/2018,Okra,Breakfast,104.0,Grams,32,0.10,2.8,7.31,0.2,1.25,3.33,0,8.32
10/15/2018,"Egg, Fried, Large",Breakfast,47.0,Grams,92,7.20,6.40,0.42,2.2,0.39,0,214.79,95.88
10/15/2018,"Pumpkin, Mashed, Cooked",Breakfast,200.0,Grams,40,0.14,1.44,9.80,0.6,2.4,2.20,0,2
10/15/2018,"Pork Chop, Center Loin, Cooked",Lunch,198.0,Grams,414,21.90,50.71,0,6.95,0,0,166.32,108.90
10/15/2018,Okra,Lunch,104.0,Grams,32,0.10,2.8,7.31,0.2,1.25,3.33,0,8.32
10/15/2018,"Pumpkin, Mashed, Cooked",Lunch,200.0,Grams,40,0.14,1.44,9.80,0.6,2.4,2.20,0,2
10/15/2018,"Egg, Fried, Large",Lunch,47.0,Grams,92,7.20,6.40,0.42,2.2,0.39,0,214.79,95.88
10/15/2018,Snack Tôm 20g,Snacks,1.0,Serving,100,4,1,14,1.50,0,1,0,240
10/15/2018,"Peanuts, Dry Cooked, w/ Salt",Snacks,20.0,Grams,117,9.93,4.74,4.30,1.38,0.84,1.60,0,162.60
